MainLanguage,Category,Filename,SentenceIndex,Sentence,Word_x,wordLength,wordIsEN,sentenceIsEN,wordIsDE,sentenceIsDE,wordIsFR,sentenceIsFR,wordIsIT,sentenceIsIT,Word_y,Language
it,Gastronomy,it_Gastronomy,0,Oggi vi parleremo di alcuni piatti internazionali.,Oggi,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Oggi,it
it,Gastronomy,it_Gastronomy,0,Oggi vi parleremo di alcuni piatti internazionali.,vi,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,vi,it
it,Gastronomy,it_Gastronomy,0,Oggi vi parleremo di alcuni piatti internazionali.,parleremo,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,parleremo,it
it,Gastronomy,it_Gastronomy,0,Oggi vi parleremo di alcuni piatti internazionali.,di,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,di,it
it,Gastronomy,it_Gastronomy,0,Oggi vi parleremo di alcuni piatti internazionali.,alcuni,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,alcuni,it
it,Gastronomy,it_Gastronomy,0,Oggi vi parleremo di alcuni piatti internazionali.,piatti,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,piatti,it
it,Gastronomy,it_Gastronomy,0,Oggi vi parleremo di alcuni piatti internazionali.,internazionali,14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,internazionali,it
it,Gastronomy,it_Gastronomy,1,Il primo è il famoso Ratatouille francese.,Il,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Il,it
it,Gastronomy,it_Gastronomy,1,Il primo è il famoso Ratatouille francese.,primo,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,primo,it
it,Gastronomy,it_Gastronomy,1,Il primo è il famoso Ratatouille francese.,è,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,è,it
it,Gastronomy,it_Gastronomy,1,Il primo è il famoso Ratatouille francese.,il,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,il,it
it,Gastronomy,it_Gastronomy,1,Il primo è il famoso Ratatouille francese.,famoso,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,famoso,it
it,Gastronomy,it_Gastronomy,1,Il primo è il famoso Ratatouille francese.,Ratatouille,11,0.0,0.0,0.0,0.0,0.71,0.0,0.29,1.0,Ratatouille,fr
it,Gastronomy,it_Gastronomy,1,Il primo è il famoso Ratatouille francese.,francese,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,francese,it
