index,MainLanguage,Category,Filename,SentenceIndex,Sentence,Word,wordLength,wordIsEN,sentenceIsEN,wordIsDE,sentenceIsDE,wordIsFR,sentenceIsFR,wordIsIT,sentenceIsIT
0,fr,PopCulture,fr_PopCulture,0,"Je suis en train de regarder mon émission de télé préférée en mode binge-watch 📺 #NetflixandChill #sérieaddict
J'adore mon nouveau job, mais le stress est réel.",Je,2,0.14,0.0,0.0,0.0,0.86,1.0,0.0,0.0
1,fr,PopCulture,fr_PopCulture,0,"Je suis en train de regarder mon émission de télé préférée en mode binge-watch 📺 #NetflixandChill #sérieaddict
J'adore mon nouveau job, mais le stress est réel.",suis,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2,fr,PopCulture,fr_PopCulture,0,"Je suis en train de regarder mon émission de télé préférée en mode binge-watch 📺 #NetflixandChill #sérieaddict
J'adore mon nouveau job, mais le stress est réel.",en,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
3,fr,PopCulture,fr_PopCulture,0,"Je suis en train de regarder mon émission de télé préférée en mode binge-watch 📺 #NetflixandChill #sérieaddict
J'adore mon nouveau job, mais le stress est réel.",train,5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
4,fr,PopCulture,fr_PopCulture,0,"Je suis en train de regarder mon émission de télé préférée en mode binge-watch 📺 #NetflixandChill #sérieaddict
J'adore mon nouveau job, mais le stress est réel.",de,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
5,fr,PopCulture,fr_PopCulture,0,"Je suis en train de regarder mon émission de télé préférée en mode binge-watch 📺 #NetflixandChill #sérieaddict
J'adore mon nouveau job, mais le stress est réel.",regarder,8,0.0,0.0,0.71,0.0,0.0,1.0,0.29,0.0
6,fr,PopCulture,fr_PopCulture,0,"Je suis en train de regarder mon émission de télé préférée en mode binge-watch 📺 #NetflixandChill #sérieaddict
J'adore mon nouveau job, mais le stress est réel.",mon,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
7,fr,PopCulture,fr_PopCulture,0,"Je suis en train de regarder mon émission de télé préférée en mode binge-watch 📺 #NetflixandChill #sérieaddict
J'adore mon nouveau job, mais le stress est réel.",émission,8,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
8,fr,PopCulture,fr_PopCulture,0,"Je suis en train de regarder mon émission de télé préférée en mode binge-watch 📺 #NetflixandChill #sérieaddict
J'adore mon nouveau job, mais le stress est réel.",de,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
9,fr,PopCulture,fr_PopCulture,0,"Je suis en train de regarder mon émission de télé préférée en mode binge-watch 📺 #NetflixandChill #sérieaddict
J'adore mon nouveau job, mais le stress est réel.",télé,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
10,fr,PopCulture,fr_PopCulture,0,"Je suis en train de regarder mon émission de télé préférée en mode binge-watch 📺 #NetflixandChill #sérieaddict
J'adore mon nouveau job, mais le stress est réel.",préférée,8,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
11,fr,PopCulture,fr_PopCulture,0,"Je suis en train de regarder mon émission de télé préférée en mode binge-watch 📺 #NetflixandChill #sérieaddict
J'adore mon nouveau job, mais le stress est réel.",en,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
12,fr,PopCulture,fr_PopCulture,0,"Je suis en train de regarder mon émission de télé préférée en mode binge-watch 📺 #NetflixandChill #sérieaddict
J'adore mon nouveau job, mais le stress est réel.",mode,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
13,fr,PopCulture,fr_PopCulture,0,"Je suis en train de regarder mon émission de télé préférée en mode binge-watch 📺 #NetflixandChill #sérieaddict
J'adore mon nouveau job, mais le stress est réel.",binge,5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
14,fr,PopCulture,fr_PopCulture,0,"Je suis en train de regarder mon émission de télé préférée en mode binge-watch 📺 #NetflixandChill #sérieaddict
J'adore mon nouveau job, mais le stress est réel.",watch,5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
15,fr,PopCulture,fr_PopCulture,0,"Je suis en train de regarder mon émission de télé préférée en mode binge-watch 📺 #NetflixandChill #sérieaddict
J'adore mon nouveau job, mais le stress est réel.",NetflixandChill,15,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16,fr,PopCulture,fr_PopCulture,0,"Je suis en train de regarder mon émission de télé préférée en mode binge-watch 📺 #NetflixandChill #sérieaddict
J'adore mon nouveau job, mais le stress est réel.",sérieaddict,11,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
17,fr,PopCulture,fr_PopCulture,0,"Je suis en train de regarder mon émission de télé préférée en mode binge-watch 📺 #NetflixandChill #sérieaddict
J'adore mon nouveau job, mais le stress est réel.",J,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
18,fr,PopCulture,fr_PopCulture,0,"Je suis en train de regarder mon émission de télé préférée en mode binge-watch 📺 #NetflixandChill #sérieaddict
J'adore mon nouveau job, mais le stress est réel.",adore,5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
19,fr,PopCulture,fr_PopCulture,0,"Je suis en train de regarder mon émission de télé préférée en mode binge-watch 📺 #NetflixandChill #sérieaddict
J'adore mon nouveau job, mais le stress est réel.",mon,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
20,fr,PopCulture,fr_PopCulture,0,"Je suis en train de regarder mon émission de télé préférée en mode binge-watch 📺 #NetflixandChill #sérieaddict
J'adore mon nouveau job, mais le stress est réel.",nouveau,7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
21,fr,PopCulture,fr_PopCulture,0,"Je suis en train de regarder mon émission de télé préférée en mode binge-watch 📺 #NetflixandChill #sérieaddict
J'adore mon nouveau job, mais le stress est réel.",job,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
22,fr,PopCulture,fr_PopCulture,0,"Je suis en train de regarder mon émission de télé préférée en mode binge-watch 📺 #NetflixandChill #sérieaddict
J'adore mon nouveau job, mais le stress est réel.",mais,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
23,fr,PopCulture,fr_PopCulture,0,"Je suis en train de regarder mon émission de télé préférée en mode binge-watch 📺 #NetflixandChill #sérieaddict
J'adore mon nouveau job, mais le stress est réel.",le,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
24,fr,PopCulture,fr_PopCulture,0,"Je suis en train de regarder mon émission de télé préférée en mode binge-watch 📺 #NetflixandChill #sérieaddict
J'adore mon nouveau job, mais le stress est réel.",stress,6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
25,fr,PopCulture,fr_PopCulture,0,"Je suis en train de regarder mon émission de télé préférée en mode binge-watch 📺 #NetflixandChill #sérieaddict
J'adore mon nouveau job, mais le stress est réel.",est,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
26,fr,PopCulture,fr_PopCulture,0,"Je suis en train de regarder mon émission de télé préférée en mode binge-watch 📺 #NetflixandChill #sérieaddict
J'adore mon nouveau job, mais le stress est réel.",réel,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
27,fr,PopCulture,fr_PopCulture,1,"Time to practice some mindfulness 🧘‍♂️ #selfcare #méditation
Je suis toujours en train de hustler pour mes projets, même les weekends 💼 #entrepreneur #hustle
J'adore écouter de la musique en travaillant, ça me donne des good vibes 🎶 #productivité #musique
J'ai tellement de choses à faire, je vais avoir besoin d'un to-do list pour m'organiser 📝 #productivité #organisation
Je viens de commander des nouveaux leggings de yoga 🧘‍♀️ #fitfam #sportive
Je suis en train de préparer mon prochain voyage, et je ne peux pas attendre de découvrir de nouvelles cultures 🌎 #wanderlust #aventure
Je suis un vrai night owl, je suis souvent en train de travailler tard le soir 🦉 #productivité #travailleur
Je suis en train de faire du shopping en ligne, et j'ai trouvé des super deals sur des produits de beauté 🛍️ #beauté #shopping
Je suis en train de faire un peu de networking, c'est important pour mon business 💼 #networking #entrepreneur
Je suis un peu fatiguée aujourd'hui, je vais prendre un petit break et regarder un film 🎬 #cinéphile #détente""

Ich liebe es, mein Frühstück mit einem leckeren Brötchen zu beginnen!",Time,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
28,fr,PopCulture,fr_PopCulture,1,"Time to practice some mindfulness 🧘‍♂️ #selfcare #méditation
Je suis toujours en train de hustler pour mes projets, même les weekends 💼 #entrepreneur #hustle
J'adore écouter de la musique en travaillant, ça me donne des good vibes 🎶 #productivité #musique
J'ai tellement de choses à faire, je vais avoir besoin d'un to-do list pour m'organiser 📝 #productivité #organisation
Je viens de commander des nouveaux leggings de yoga 🧘‍♀️ #fitfam #sportive
Je suis en train de préparer mon prochain voyage, et je ne peux pas attendre de découvrir de nouvelles cultures 🌎 #wanderlust #aventure
Je suis un vrai night owl, je suis souvent en train de travailler tard le soir 🦉 #productivité #travailleur
Je suis en train de faire du shopping en ligne, et j'ai trouvé des super deals sur des produits de beauté 🛍️ #beauté #shopping
Je suis en train de faire un peu de networking, c'est important pour mon business 💼 #networking #entrepreneur
Je suis un peu fatiguée aujourd'hui, je vais prendre un petit break et regarder un film 🎬 #cinéphile #détente""

Ich liebe es, mein Frühstück mit einem leckeren Brötchen zu beginnen!",to,2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
