index,MainLanguage,Category,Filename,SentenceIndex,Sentence,Word_x,wordLength,wordIsEN,sentenceIsEN,wordIsDE,sentenceIsDE,wordIsFR,sentenceIsFR,wordIsIT,sentenceIsIT,Word_y,Language
0,fr,Jargon,fr_Jargon,0,"J'ai réservé une session de ""coaching"" avec mon ""personal trainer"" demain matin.",J,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,J,fr
1,fr,Jargon,fr_Jargon,0,"J'ai réservé une session de ""coaching"" avec mon ""personal trainer"" demain matin.",ai,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,ai,fr
2,fr,Jargon,fr_Jargon,0,"J'ai réservé une session de ""coaching"" avec mon ""personal trainer"" demain matin.",réservé,7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,réservé,fr
3,fr,Jargon,fr_Jargon,0,"J'ai réservé une session de ""coaching"" avec mon ""personal trainer"" demain matin.",une,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,une,fr
4,fr,Jargon,fr_Jargon,0,"J'ai réservé une session de ""coaching"" avec mon ""personal trainer"" demain matin.",session,7,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,session,fr
5,fr,Jargon,fr_Jargon,0,"J'ai réservé une session de ""coaching"" avec mon ""personal trainer"" demain matin.",de,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,de,fr
6,fr,Jargon,fr_Jargon,0,"J'ai réservé une session de ""coaching"" avec mon ""personal trainer"" demain matin.",coaching,8,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,coaching,en
7,fr,Jargon,fr_Jargon,0,"J'ai réservé une session de ""coaching"" avec mon ""personal trainer"" demain matin.",avec,4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,avec,fr
8,fr,Jargon,fr_Jargon,0,"J'ai réservé une session de ""coaching"" avec mon ""personal trainer"" demain matin.",mon,3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,mon,fr
9,fr,Jargon,fr_Jargon,0,"J'ai réservé une session de ""coaching"" avec mon ""personal trainer"" demain matin.",personal,8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,personal,en
10,fr,Jargon,fr_Jargon,0,"J'ai réservé une session de ""coaching"" avec mon ""personal trainer"" demain matin.",trainer,7,0.39,0.0,0.0,0.0,0.61,1.0,0.0,0.0,trainer,en
11,fr,Jargon,fr_Jargon,0,"J'ai réservé une session de ""coaching"" avec mon ""personal trainer"" demain matin.",demain,6,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,demain,fr
12,fr,Jargon,fr_Jargon,0,"J'ai réservé une session de ""coaching"" avec mon ""personal trainer"" demain matin.",matin,5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,matin,fr
13,fr,Jargon,fr_Jargon,1,"Le ""team building"" organisé par notre entreprise était très amusant et productif.",Le,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Le,fr
14,fr,Jargon,fr_Jargon,1,"Le ""team building"" organisé par notre entreprise était très amusant et productif.",team,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,team,en
15,fr,Jargon,fr_Jargon,1,"Le ""team building"" organisé par notre entreprise était très amusant et productif.",building,8,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,building,en
